id	filename	md5	size	state
1094c6ec-57ea-49da-a77e-f8028b03b4e7	c9381f51-ec09-4487-88a4-8e94452e4893.htseq.counts.gz	e8e42548464e00932b81357ee21d6635	253509	validated
12feadf0-ce03-4d45-8979-39fcb56dcf25	592b3724-0836-41e9-b4d0-1bce729e7a1f.htseq.counts.gz	436107c5eb823afd4fc5887c90c224c5	253282	validated
1344f507-e11a-4eab-80f2-82e20a4e8ede	74a288d5-7bb7-414b-b422-f9a4548a8433.htseq.counts.gz	30168df32eb8013415055b96a68d49db	252053	validated
14f333d4-e0ca-4205-977f-5f878d27a245	1b503435-1ff4-4e3f-b07e-96adbe94549a.htseq.counts.gz	ac0dec7e05f9c58572f59b3773cdac03	242932	validated
19683bd2-b6ae-4802-a847-0d70122337f8	bdc9dadb-a543-4965-b85f-8b20b14d4efe.htseq.counts.gz	9018528a3cb434607e46f0586c9dae75	255242	validated
2edad525-0b1e-453c-9b39-cb126c92e079	01667231-844e-4f98-905c-c0ecafee35b5.htseq.counts.gz	63a50dce9f8d9d54f62edc38844b6309	249519	validated
43318e69-4aa1-4f76-ba79-658a3a04fe87	022cbd07-3e20-4144-b2ab-8c76adffae73.htseq.counts.gz	b017259ce3bcf7247f3fc265a7fac226	249921	validated
50235b25-7a23-42a8-aaa7-479000c74e25	97fbdeeb-5066-44c3-93ad-b05917236933.htseq.counts.gz	d3545acf9d8870b8b94efeef8849b38c	255131	validated
7592794b-1892-4a96-a6c2-759ce6879281	c839556e-515d-4793-9960-0edd0a71a101.htseq.counts.gz	07364abfcec686789e22f55b40da90a5	250622	validated
7c7b8c42-47c2-4106-880a-dfd0cb53b3c2	c03b9756-2611-404f-ba89-79e7143381bb.htseq.counts.gz	daf657bcd4e465b3af75bff059d00b73	245631	validated
b0feb1c4-a349-4128-a4aa-d98ea7ac8ffb	f0051b3a-479d-4410-ab85-270618818492.htseq.counts.gz	5f40195db087ed6437925b9876d68fb7	246688	validated
b5206dc2-c8ea-4b06-869c-ea0663e43afa	12b16f45-0e5e-4c24-85b5-fd05a6482fa2.htseq.counts.gz	b4b8c9f07e7f6d275fa9874ebc13532c	255632	validated
b5569562-7bd4-4220-9a08-ca32e963754d	b600c271-e77b-4752-af07-08dd817ea601.htseq.counts.gz	4a5456b1d26f44e2d5a2659bff66fc67	247982	validated
bae38f13-9de8-4d51-80bb-856dded66d10	485f059b-e143-40b6-b4d2-96bb7497558f.htseq.counts.gz	1ba42c3579c38c6c604908aa4b8588ad	244603	validated
d604672a-2000-4dfc-b417-94503c57c951	cc54e123-c06a-48a8-b864-7497ecb37c0b.htseq.counts.gz	91f79ddb37d821c7f72f08d3ffe060ad	253162	validated
d9b960cf-468d-4885-a7a0-e390717a68d9	e77ea9a5-0b4f-466a-86b3-378d756dea57.htseq.counts.gz	806ed6a20ca03f07541901ff5986f819	249048	validated
ea4c59e3-a310-4cc6-a5a6-1505dbda31a4	206537cc-dc94-4722-b6d2-1e5fd6588078.htseq.counts.gz	8398e62ed39fd1a09ea63df487d865c8	247483	validated
ecd9091a-4d46-4a74-ada2-24c4b2e64526	6ad59e49-f417-4144-9c13-51b24f66422a.htseq.counts.gz	59b35f6044c7682702364158ec71e98c	247355	validated
f69b8a27-b878-4a92-a736-1db1105d7e07	d487d4a4-5ac3-4c0b-95d3-4dc46690410e.htseq.counts.gz	bff59198349cf8089ee4f44e38582b88	251844	validated
f6bc8cb1-ba90-457b-85a6-4172d705bd50	a1231612-345f-4ff4-8ee9-c5e596357f76.htseq.counts.gz	cf313139f7d816d5277b4ace5cd46796	252470	validated
