id	Other	Exon_14
RRAD	564.377087773394	4286.50589378336
CD207	43.5430836811209	818.143222041385
DIO1	11.1481703602091	262.636854880636
HPDL	130.364976066274	9.60017600127547
PRR32	1.62392832530373	31.5066129380463
MDM2	2866.09960948671	15809.7758198817
RCOR2	374.379922467878	30.3912722035703
CD1A	74.471379719902	642.857273542291
PLA1A	173.376805396746	1128.83353182325
DDX43	177.031085844045	13.9614795513812
ENSG00000243587	52.2411991934598	8.39973556206207
RSPO3	768.927195997919	73.2198853685115
CD1E	51.6852156952755	277.310811267794
MYRFL	7.14843658917346	1763.4771398164
SLC35E3	592.072834834606	2847.32256695782
LRRTM4	23.8357787413741	1.99821207246337
FCER1A	57.1531345804387	373.798967556176
OOEP	43.9689294396995	1.50989972153104
ERVMER34-1	310.255495088808	54.6062241344399
CASC9	224.81222729814	2.43912190026565
AC024145.1	3.7742561538672	30.5909477455822
AC016705.2	20.8118358446567	149.015690994587
HIST1H3E	22.9836861069487	4.84119988210789
RNF175	44.6806540292614	114.389547297578
INHA	1286.02350940181	7.28468153312681
FEZF1	16.0736566830151	148.717147010455
BDNF	87.5573156171635	16.4883104653808
KRT81	740.088368281149	43.9654953980126
CCDC148	33.9557756438339	98.1452520658617
CNTD2	280.059150761427	28.5429720095764
HIST1H2AD	24.2928413610187	1.7786058891737
CPS1	8361.76217537318	139.238790455588
TRIM9	170.608656501755	174.992611220941
OXER1	37.6263483064048	168.472209490915
AC138207.8	45.4353065771217	108.84875937836
SELE	95.6156577254826	225.575887083064
S100A7	74.0165168650486	0.127843511157556
LPCAT1	15084.5191409229	80034.2553585359
UCHL1	3854.16690025823	344.807989889833
FRS2	1082.23709755436	4712.75655757073
CKS1B	1254.50464222298	540.46212796698
HIST1H2AI	32.1467474128389	5.65208661437622
KRT20	2260.30069214392	55.8242354432613
AC068234.2	10.4179333578702	39.1424069366134
CCT2	5132.5007468115	25068.8334348276
LINC02081	86.3757159212252	13.7035225008485
MT-TT	3.33096680436567	27.1901788748672
AC084262.1	5.75445985330503	0.386942473230168
ENSG00000244731	266.577265699963	991.389644203922
AC007686.1	1.24168391210844	14.4101194343666
ENSG00000278350	7.2818272126399	51.4920270640232
SOX30	97.166618661153	7.89618218363715
SLCO4C1	210.685250904664	1532.96678889434
HIST1H4E	10.8068049276508	0.857414641769878
AC009686.2	25.4719799593791	6.26124915419198
RAP1B	1944.22244405071	6720.42513348516
DUSP4	7203.41570192926	1224.46033799635
AL355916.1	44.5293491591944	468.28422193659
CD1C	95.1381557523657	420.12749771723
S100B	187.708184899862	830.569549545609
KRT6A	7385.7466599048	4691.58025232155
NRAP	2.4845640349514	16.0332713427027
AC079949.2	60.2176466512572	6.43018223227056
ELFN1-AS1	115.631431668965	1.82785942834662
DUXAP8	179.151624356116	27.5022512701943
NUP107	1513.44381070196	5286.81407324607
PIGR	6666.70829590822	66788.4235006527
TDRD10	34.3894602074713	228.653139778625
AC011700.1	4.40934931673905	4.68391025171698
AC073592.2	6.75371488691189	1.05626770722911
ADGRE4P	23.1091132766702	86.6969274857087
RN7SKP51	1.89551684650647	16.5675265049794
MDM1	328.243609723221	939.826127632877
PLD4	145.346253308004	547.42009188438
CTSH	9518.5791254261	41917.9024404461
LINC02588	54.8614226477869	0
DUXAP9	17.370749419098	3.17414164971298
CHMP4C	1467.35672454813	590.255843347491
NRG4	96.373332079226	13.3468313457884
HIST1H2BG	65.1059939572642	11.048422879293
SERPINI2	5.0986481263908	38.9010759814419
DHX58	623.544448164049	1372.33424406612
C8orf74	16.0538351799535	0.217727369301198
GBX2	13.5894006828068	1.37305266549078
REN	11.3039088230489	71.4854939472296
THBS4	239.634743952651	259.008191639699
DGLUCY	993.045727865704	1989.292751883
SLC26A4	143.953688143601	960.744068621622
VAV3	257.144275042683	838.74069621379
HESX1	20.7852034318159	49.2638339000849
CYCSP6	12.2195812098552	0
SYNE1	2431.95342751559	6469.66723659319
S100P	19186.6893453433	990.791913106987
PSCA	21170.3961962753	62.4268300439306
HIST1H1C	3197.85719195336	849.03617497382
MT-TP	1114.51052669374	2902.14123943323
CLEC4F	7.63780415101078	33.4715263614123
MMP19	618.233387455665	2110.97521604129
CERKL	440.032372438196	870.09473016287
ERVH48-1	506.756289171538	4.73656900296108
LINC01502	18.1690775787585	7.03903204390847
AC003681.1	105.977292640104	311.302076521053
SCTR	141.542530451671	1269.2627816963
AL589743.1	18.6250316467598	2.85320318553597
AC007608.3	5.321609756258	21.3179199230229
SLC4A5	44.8743328484656	149.717008998497
AP001372.1	2.00841536434544	13.2617280888732
YES1P1	7.15951755253775	28.6185741349999
HOXA1	153.955296854789	25.1053628470475
YEATS4	594.416608828097	2104.20508209196
PCIF1	1940.5971787821	1344.77660924225
CD1B	24.5951992597391	131.807072283676
HBB	1355.61259745106	2783.68123633031
RN7SL8P	1.94247239814089	13.2415959453821
CNOT2	2297.49100465007	6098.40218629716
KLK8	76.8162171486768	0.863000376874645
NKX2-8	133.241964195793	73.3801685547186
GAL3ST2	13.702637119586	2.70573759180776
SUN3	120.168341091723	66.1973721419727
ENSG00000272367	8.74213768031033	30.787516170214
IL1RL2	67.6260550301947	167.536322702395
DMRT2	8.68209867162772	55.3516473717697
HIST1H1PS1	13.8717949301291	1.17402186438714
HLA-DQB1-AS1	56.118812264184	242.334866204877
POT1-AS1	90.3063877043789	22.7993570256288
AL031777.1	15.516862489843	2.84648929022186
CEACAM4	33.2107520134361	124.720223124455
RAB3IP	1016.55292351308	4377.77147501305
FGG	70831.8435428363	316.854354330719
